Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Jackson,,,,,,,,,599.99
Jackson,,,,,,,,,729.99
Schecter,,,,,,,,,1259.00
Ibanez,,Poplar,,,,,,,299.99
EVH,,Basswood,,,,,Solidbody,,599.99
Schecter,,,,,,,,,1069.00
Jackson,,,,,,,,,299.99
total Music Source,,,,,,,,,1098.99
total Music Source,,,,,,,,,979.99
Fender,,,,,6 String,Black,Solid,,674.99
Schecter,Unknown,,,1555,6,Black,Solid,Right handed,749.00
ESP,,,,,,,,,599.00
Fender,,Alder,,,,,Solidbody,,674.99
Fender,,,,,,,,,674.99
Schecter,,,,,,,,,692.01
Fender,,Alder,,,,,Solidbody,,824.99
Fender,,,,,,,,,499.99
PRS,,,,,,,,,3499.99
Magneto,,Solid Wood,,Sonnet,6 String,Pacific Blue,Solid,,2849.99
Dean,,,,,6 String,,,,949.00
Schecter,,,,,,,,,899.00
Schecter Guitar Research,,,,,,,,,699.00
Ibanez,,,Artcore,Artcore AS73,6 String,Mint Blue,Semi-Hollow,Right-Handed,399.00
Fender,,Alder,,,,,Solidbody,,674.99
Schecter,,,,,,Black,,,399.00
Ibanez,,Maple,,,,,Hollow Body,,399.99
Gretsch,,Maple,,,,,Hollow Body,,449.99
Yamaha,,,,,,,,,314.99
Vintage,,Solid Wood,,VS6VCR,6 String,,Solid,Right-Handed,549.00
,,,,,,,,,289.99
Schecter,,,,,,,,,1399.00
total Music Source,,,,,,,,,799.99
ESP LTD,,,,,6,Black,Solid,,499.00
Fender,,Alder,,,,,Solidbody,,674.99
Fender,,Alder,,,,,Solidbody,,1549.99
Fender,,Alder,,,,,Solidbody,,674.99
Ibanez,,Maple,,,,,Hollow Body,,999.99
,,,,,,,,,686.88
Epiphone,,,,,6 String,Black,,,399.95
PRS,2019,Mahogany,SE,24,6 String,Fire Red,Solid,Right-Handed,999.00
Dean Electric Guitars,,,,NV BKS,,,,,749.00
Ibanez,,,,,,,,,399.99
Dean,,,,,6 String,Brown,,,449.99
D'Angelico,,,,,,,,,1599.99
Ibanez,,Linden,,,,,Hollow Body,,499.99
Schecter,,,,,,,,,795.00
Fender,,Alder,,,,,Solidbody,,674.99
Fender,,,,,,,,,674.99
Epiphone,,,,,,,,,487.88
Ibanez,,,,,,,,,1799.99
Gibson,,,,,,Black,,,1599.99
total Music Source,,,,,,,,,659.99
PRS,2019,Solid Wood,,S2 Custom 24,6 String,Elephant Grey,Solid,Right-Handed,1549.99
Jackson,,,,,,,,,399.99
Fender,,Alder,,,,,Solidbody,,674.99
,,,,,6 String,,Semi-Hollow,Right-Handed,699.99
Dean,,,,,12 String,,Semi-Hollow,,469.00
Danelectro,,,,,,,,,329.00
Dean Guitars,,,,,,,,,469.00
Fender,,,,,,,,,1449.99
Schecter,,,,,,,,,1189.00
Jackson,,,,JS32 Dinky Arch Top Bright Blue,,,,,299.99
Zemaitis,,,,C24MF,6 String,Black,Solid,,1475.00
Hagstrom,,,,,,,,,899.99
