Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Fender,,Solid Wood,,Stratocaster,6 String,Blue Mtallic,Solid,,449.00
Fender,2006,,,Squier Obey Dissent Stratocaster,6 String,,,Right-Handed,315.00
Fender,2003,Alder,Custom Shop Time Machine,Stratocaster,,Black,,Right-Handed,2995.00
Fender,2013,,Fender Stratocaster,Stratocaster FSR Standard,6 String,Mystic sunburst,Solid,Right-Handed,1050.00
Fender,2012,Alder,Classic,Classic Series '72 Telecaster Deluxe,6 String,Walnut,Solid,Right-Handed,699.00
Fender,,,Fender Stratocaster,,,,,,799.00
Fender,1993,Solid Wood,American Standard,American Standard Telecaster,6 String,Red,Solid,Right-Handed,849.99
Squier,,,,SQCV70sSTRATHSSLHMNBLK,,,,,349.99
Fender,2019/2020,Rosewood,American Ultra Stratocaster,American Ultra Stratocaster,,Cobra Blue,Stratocaster,Right-Handed,1899.99
Custom by Nate's Relic Guitars,1993-2019,'Solid Wood, Alder',,Tele Style,6 String,Worn Sea Foam,Solid,,849.50
Fender,,,,,,,,,699.99
Fender,,,,0370327510,,,,,389.00
Fender,,,,American Standard Telecaster,,,,,849.99
Fender,,,,,,,,,607.49
Fender,2008,,Fender Stratocaster,Stratocaster Delux,6 String,Crimson Red Transparent,Solid,Right-Handed,899.99
Fender,2001,,Fender Stratocaster,American Stratocaster,6 String,Ocean Turquoise,Stratocaster,Right-Handed,975.00
Fender,,,,014-1103-300,,,,,767.24
Fender,1996,,Fender Stratocaster,,6 String,Custom Paint "Changing the World",Solid,Right-Handed,299.99
Fender,,,American Standard,Stratocaster American 50th Anniversary Edition,6 String,Butterscotch Blond,Solid,,1099.00
Fender Custom Shop,2019,,,1957 Stratocaster Heavy Relic,6 String,2-Tone Sunburst,Solid,Right-Handed,2699.00
Fender,2005,Koa,,Stratocaster Special Edition,6 String,,,Right-Handed,999.00
Fender,,,,,,,,,824.99
Fender,,,,PLAYERSTRATHSSMNButtercream,,,,,595.00
Fender,,,,SQCONTTELEHHLHMNDMR,,,,,349.99
Fender,2010,Alder,Fender Stratocaster,65 Relic Stratocaster,6 String,Lake Placid Blue,Solid,Right-Handed,1182.00
Fender,,,,0370322523,,,,,349.00
Fender,,,,,,,,,839.99
Fender,2015,Alder,Fender Telecaster,Telecaster Delux,6 String,Black/Chrome,Solid,Right-Handed,1000.00
Fender,,,Fender Stratocaster,Plus,,,,,995.00
VR (Vintage Relic),2019,Alder,,Telecaster,6 String,Sherwood Green,Solid,,699.00
Fender,,,,,,,,,567.61
Fender,1989,Solid Wood,,Telecaster American Standard,6 String,3 Tone Sunburst,Solid,,999.00
Fender,,,,,,,,,1499.99
Fender,1991,,,Stratocaster Plus,6 String,Sunburst,Solid,Right-Handed,995.00
Squier,,,,,,,,,399.99
Fender,2019,'Solid Wood, Alder',Fender Stratocaster,Player Strat,6 String,Aged Cherry Burst,Solid,,630.00
Fender,2016,,American,,6 String,Butterscotch,Solid,Right-Handed,1099.95
Fender,2019,Alder,Fender Telecaster,American Elite Telecster,6 String,Aged Cherry Burst,Telecaster,Right-Handed,1599.00
Fender,,Solid Wood,,Stratocaster Plus,6 String,Black,Solid,,1099.00
Squier,,,Fender Telecaster,Classic,6 String,,,Right-Handed,479.00
Squier,,,,,,,,,314.99
Fender,,,Fender Stratocaster,Stratocaster,6 String,Mocha,Solid,Right-Handed,1999.00
Fender,,,Fender Stratocaster,Custom,,,,,600.00
Fender,2018,Pine,Squier Telecaster,Classic Vibe '50's Telecaster,6 String,Vintage Blonde,Solid,Right-Handed,315.95
Fender,,,,,,,,,629.99
Fender,,'Alder, Poplar',Fender Stratocaster,Stratocaster,6 String,Red,Stratocaster,Right-Handed,1099.00
VR (Vintage Relic),2019,'Solid Wood, Ash',,Stratocaster,6 String,Mary Kaye White,Solid,,799.00
Fender,2002,,Fender Stratocaster,,6 String,Black,Solid,Right-Handed,375.00
Fender,,,,'Fender American Ultra Stratocaster HSS Rw Fb, Aged Natural US1907',,,,,1999.99
Fender,,,,,,,,,746.88
Fender,,,Fender Telecaster,Custom,,,,,925.00
Fender,2016,Maple,Fender Stratocaster,Stratocaster Elite SSS,6 String,Mystic Black,Solid,Right-Handed,1399.00
Fender,,Mahogany,,,6 String,Olympic White,Solid,,899.99
Fender,,,,,,,,,299.99
Fender,2019,Alder,,Jaguar,6 String,Ocean Turquoise,Solid,,1049.99
FEN,,,,,,,,,599.99
Fender,1997,,Fender Stratocaster,Plus,6 String,Silver,Solid,,999.00
Fender,,,,Powercaster,6 String,Surf Green,Solid,,799.99
Fender,2019,Ash,,Stratocaster,6 String,,Solid,,849.99
Fender,2019,,,player series stratocaster,6 String,buttercream,Solid,,674.99
Fender,,,,,,,,,606.99
Fender,,,,,,,,,742.49
Fender,,,,,,,,,924.99
Fender,2017,,,Classic Player Jaguar HH Special,,White,,,799.00
Fender,1991,,Fender Stratocaster,Stratocaster,6 String,Red,Solid,Right-Handed,400.00
Fender,,,,,,,,,1899.99
Fender,,,,,,,,,349.99
Fender,,,,,,,,,742.49
,,,,,,,,,549.88
Fender,Mixed,Alder,Fender Stratocaster,Stratocaster,6 String,Copper Relic,Solid,Right-Handed,399.99
Fender,2003,,Fender Stratocaster,Stratocaster Delux,,,,,850.00
Fender,,,Fender Stratocaster,,6 String,Black,Solid,Right-Handed,820.00
Fender,,,,,,,,,594.97
Fender,,,Fender Stratocaster,Classic,,,,,1200.00
Fender,,,,,,,,,1099.99
Fender,,,,,,,,,979.00
Fender,2006,,Fender Stratocaster,Stratocaster Delux,,,,,1000.00
Fender,,,,,,,,,949.99
Fender,2016,,,,,,,Right-Handed,499.00
Fender,,Alder,,Player Series Stratocaster,6 String,Tidepool Blue,Solid,Right-Handed,729.00
